Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
L2,4246,50,58,,,,-23.602235,-46.482769,,1/0/1900,AVENIDA,MATEO,BEI,"(BAIRRO/CENTRO),",NUMERO,2323,,,,,,,,,,,,
L2,4247,50,58,,,,-23.602235,-46.482769,,1/0/1900,AVENIDA,MATEO,BEI,"(BAIRRO/CENTRO),",NUMERO,2323,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L2,4248,50,58,,,,-23.602709,-46.482514,,1/0/1900,AVENIDA,MATEO,BEI,"(CENTRO/BAIRRO),",NUMERO,2372,,,,,,,,,,,,
L2,4249,50,58,,,,-23.602709,-46.482514,,1/0/1900,AVENIDA,MATEO,BEI,"(CENTRO/BAIRRO),",NUMERO,2372,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L2,4250,50,58,,,,-23.530622,-46.556725,,1/0/1900,AVENIDA,CELSO,GARCIA,"(CENTRO/BAIRRO),NUMERO",5824,,,,,,,,,,,,,
L2,4251,60,68,,,,-23.53339,-46.539985,,1/0/1900,AV,CONDE,DE,FRONTIN,"(C/B),",A,MAIS,40MDA,R,MONSENHOR,FRANCISCO,DE,PAULA,,,,,
L2,4252,60,68,,,,-23.53339,-46.539985,,1/0/1900,AV,CDE,DE,FRONTIN,"(C/B),",A,MAIS,40M,DA,R,MONS,FRANCISCO,DE,PAULA-FX,EXC,DE,ONIB,
L2,4253,60,68,,,,-23.575259,-46.502623,,1/0/1900,AVENIDA,ARICANDUVA,"(BAIRRO/CENTRO),",AMAIS,15,METROS,DA,AVENIDA,MATAPI,,,,,,,,,
L2,4254,50,58,,,,-23.575259,-46.502623,,1/0/1900,AV,ARICANDUVA,"(BAIRRO/CENTRO),",A,MAIS15M,DA,AV,MATAPI,-,FX,EXCLUSIVA,DE,ONIBUS,,,,,
L2,4255,40,48,,,,-23.528131,-46.551822,,1/0/1900,R,COMENDADOR,CANTINHO,(BAIRRO/CENTRO),X,R,CORONEL,RODOVALHO,,,,,,,,,,
,4256,50,58,,,,,,,,AVENIDA,PAES,DE,BARROS,"(CENTRO/BAIRRO),",NUMERO,2430,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,
,4257,60,68,,,,,,,,AVENIDA,PAES,DE,BARROS,"(CENTRO/BAIRRO),",NUMERO,2430,,,,,,,,,,,
L2,4258,50,58,,,,-23.620513,-46.454591,,1/0/1900,AVENIDA,SAPOPEMBA,"(BAIRRO/CENTRO),",NUMERO,25820,,,,,,,,,,,,,
L2,4259,50,58,,,,-23.620513,-46.454591,,1/0/1900,AVENIDA,SAPOPEMBA,"(BAIRRO/CENTRO),",NUMERO,25820,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,,
L2,4260,50,58,,,,-23.620418,-46.460087,,1/0/1900,AVENIDA,SAPOPEMBA,"(CENTRO/BAIRRO),",A,MAIS,30,METROS,DO,NUMERO,16630,,,,,,,,
L2,4261,50,58,,,,-23.620418,-46.460087,,1/0/1900,AVENIDA,SAPOPEMBA,"(CENTRO/BAIRRO),",A,MAIS,30M,DO,NR,16630,-,FAIXA,EXC,DE,ONIBUS,,,,
L2,4262,60,68,,,,-23.509192,-46.549422,,1/0/1900,R,DOUTOR,ASSIS,RIBEIRO,"(BAIRRO/CENTRO),",A,MENOS,120M,DA,AV,GABRIELA,MISTRAL,,,,,,
L2,4263,50,58,,,,-23.519096,-46.475926,,1/0/1900,AV,AGUIA,DE,HAIA,"(CENTRO/BAIRRO),",A,MENOS,240,METROS,DA,ESTRADA,DO,IMPERADOR,,,,,
L2,4264,50,58,,,,-23.519096,-46.475926,,1/0/1900,AV,AGUIA,DE,HAIA,"(C/B),",A,MENOS,240M,DA,ESTRADA,DO,IMPERADOR-FX,EXCL,DE,ONIBUS,,,
L2,4265,50,58,,,,-23.515653,-46.476611,,1/0/1900,AV,AGUIA,DE,HAIA,"(BAIRRO/CENTRO),",A,MENOS,104M,DA,ESTRADA,DE,MOGI,DAS,CRUZES,,,,
L2,4266,50,58,,,,-23.515653,-46.476611,,1/0/1900,AV,AGUIA,DE,HAIA,(B/C),A,MENOS,104M,DA,ESTR,DE,MOGI,DAS,CRUZES-FX,EXC,DE,ONIBUS,
L2,4267,50,58,,,,-23.495008,-46.437262,,1/0/1900,AVENIDA,MARECHAL,TITO,"(BAIRRO/CENTRO),",NUMERO,877,,,,,,,,,,,,
L2,4268,50,58,,,,-23.495008,-46.437262,,1/0/1900,AVENIDA,MARECHAL,TITO,"(BAIRRO/CENTRO),",NUMERO,877,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L2,4269,50,58,,,,-23.494912,-46.437656,,1/0/1900,AV,MARECHAL,TITO,"(CENTRO/BAIRRO),",A,MAIS,30M,DA,R,ENGENHEIRO,MANUEL,OSORIO,,,,,,
L2,4270,50,58,,,,-23.494912,-46.437656,,1/0/1900,AV,MARECHAL,TITO,"(C/B),",A,MAIS,30M,DAR,ENG,MANUEL,OSORIO,-,FX,EXCLUS,DE,ONIBUS,,
L2,4271,60,68,,,,-23.518424,-46.474811,,1/0/1900,ESTRADA,DO,IMPERADOR,"(CENTRO/BAIRRO),OPOSTO",AO,NUMERO,984,,,,,,,,,,,
L2,4272,50,58,,,,-23.518424,-46.474811,,1/0/1900,ESTRADA,DO,IMPERADOR,"(CENTRO/BAIRRO),OPOSTO",AO,NUMERO,984-FAIXA,EXCL,DE,ONIBUS,,,,,,,,
L2,4273,60,68,,,,-23.518496,-46.523573,,1/0/1900,AVENIDA,SAO,MIGUEL,"(CENTRO/BAIRRO),",NUMERO,474,,,,,,,,,,,,
L2,4274,60,68,,,,-23.518496,-46.523573,,1/0/1900,AVENIDA,SAO,MIGUEL,"(CENTRO/BAIRRO),",NUMERO,474,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L2,4275,40,48,,,,-23.610996,-46.530728,,1/0/1900,RUA,ANA,CLARA,(MORAIS,"COSTA/ORATORIO),",NUMERO,296,A,,,,,,,,,,
,4276,40,48,,,,,,,,AVENIDA,DA,BARREIRA,GRANDE,"(CENTRO/BAIRRO),",NUMERO,2064,,,,,,,,,,,
,4277,40,48,,,,,,,,AVENIDA,DA,BARREIRA,GRANDE,"(BAIRRO/CENTRO),",OPOSTO,NUMERO,2064,,,,,,,,,,
L2,4278,40,48,,,,-23.587194,-46.516387,,1/0/1900,AVENIDA,DA,BARREIRA,GRANDE,"(CENTRO/BAIRRO),",NUMERO,2832,,,,,,,,,,,
L2,4279,40,48,,,,-23.587194,-46.516387,,1/0/1900,AVENIDA,DA,BARREIRA,GRANDE,"(BAIRRO/CENTRO),",NUMERO,2905,,,,,,,,,,,
L2,4280,40,48,,,,-23.590484,-46.572255,,1/0/1900,RUA,COSTA,BARROS,"(CENTRO/BAIRRO),",NUMERO,1448,,,,,,,,,,,,
L2,4281,40,48,,,,-23.590484,-46.572255,,1/0/1900,RUA,COSTA,BARROS,"(BAIRRO/CENTRO),",NUMERO,1441,,,,,,,,,,,,
L2,4282,40,48,,,,-23.603236,-46.559495,,1/0/1900,RUA,FRANCISCO,REBELO,(SAO,"LUCAS/VILACALIFORNIA),",NUMERO,314,,,,,,,,,,,
,4283,40,48,,,,,,,,RUA,NOVA,BRASILIA,"(SAPOPEMBA/BARREIRAGRANDE),",NUMERO,501,,,,,,,,,,,,
,4284,40,48,,,,,,,,RUA,NOVA,BRASILIA,(BARREIRA,"GRANDE/SAPOPEMBA),",NUMERO,501,,,,,,,,,,,
L2,4285,40,48,,,,-23.612538,-46.52369,,1/0/1900,AVENIDA,DO,ORATORIO,"(CENTRO/BAIRRO),",NUMERO,6518,,,,,,,,,,,,
L2,4286,40,48,,,,-23.612538,-46.52369,,1/0/1900,AVENIDA,DO,ORATORIO,"(BAIRRO/CENTRO),",NUMERO,6515,,,,,,,,,,,,
L2,4287,40,48,,,,-23.59732,-46.541297,,1/0/1900,AVENIDA,DO,ORATORIO,"(CENTRO/BAIRRO),",NUMERO,3232,,,,,,,,,,,,
L2,4288,40,48,,,,-23.598086,-46.522421,,1/0/1900,AVENIDA,DO,ORATORIO,"(BAIRRO/CENTRO),",NUMERO,3191,A,,,,,,,,,,,
L2,4289,40,48,,,,-23.598086,-46.522421,,1/0/1900,AVENIDA,SAPOPEMBA,(SAO,"LUCAS/SAPOPEMBA),",OPOSTO,NUMERO,8023,,,,,,,,,,,
L2,4290,40,48,,,,-23.598086,-46.522421,,1/0/1900,AVENIDA,SAPOPEMBA,(SAPOPEMBA/SAO,"LUCAS),",NUMERO,8023,,,,,,,,,,,,
L2,4291,40,48,,,,-23.586789,-46.534556,,1/0/1900,RUA,SOLIDONIO,LEITE,"(CENTRO/BAIRRO),",OPOSTO,NUMERO,2563,,,,,,,,,,,
L2,4292,40,48,,,,-23.586789,-46.534556,,1/0/1900,RUA,SOLIDONIO,LEITE,"(BAIRRO/CENTRO),",NUMERO,2563,,,,,,,,,,,,
,4293,40,48,,,,,,,,AVENIDA,VILA,EMA,"(CENTRO/BAIRRO),",OPOSTO,NUMERO,5475,,,,,,,,,,,
,4294,40,48,,,,,,,,AVENIDA,VILA,EMA,"(BAIRRO/CENTRO),",NUMERO,5475,,,,,,,,,,,,
L2,4295,40,48,,,,-23.598498,-46.553164,,1/0/1900,AVENIDA,ZELINA,(VILA,PRUDENTE/VILA,"ALPINA),",NUMERO,1212,,,,,,,,,,,
L2,4296,40,48,,,,-23.598498,-46.553164,,1/0/1900,AVENIDA,ZELINA,(VILA,ALPINA/VILA,"PRUDENTE),",OPOSTO,NUMERO,1212,,,,,,,,,,
L2,4298,70,78,,,,-23.502802,-46.458577,,1/0/1900,AV,JACU,PESSEGO/N.,TRABALHAD.,(S.,MIG/S.MAT),A,MENOS,378M,DA,TV,FLOR,DE,PESSEGO,,,,
,4300,50,58,,,,,,,,AVENIDA,CALIM,EID,"(CENTRO/BAIRRO),",A,MAIS,13,METROS,DA,RUA,TARU,,,,,,,
,4302,60,68,,,,,,,,AV,SALIM,FARAH,MALUF,(MARGINAL,TIETE/VL,PRUDENTE),A,MAIS,196M,DA,R,FAUSTO,CLEVA,,,,
L2,4308,50,58,,,,-23.49587,-46.391622,,1/0/1900,AV,MARECHAL,TITO,"(BAIRRO/CENTRO),",A,MAIS,2,METROS,DA,R,ANTONIO,NUNES,PINTO,,,,,
L2,4309,50,58,,,,-23.525312,-46.435474,,1/0/1900,AVENIDA,JOSE,PINHEIRO,BORGES,"(CENTRO/BAIRRO),",A,MENOS,300M,DA,RUA,BENTO,MUNHOZ,,,,,,
,4325,40,48,,,,,,,,AVENIDA,DA,LIBERDADE,"(CENTRO/BAIRRO),NUMERO",146,,,,,,,,,,,,,
,4327,40,48,,,,,,,,AVENIDA,DA,LIBERDADE,"(BAIRRO/CENTRO),A",MAIS,50,METROS,DA,RUA,DOS,ESTUDANTES,,,,,,,
,4329,50,58,,,,,,,,AVENIDA,RIO,BRANCO,"(BAIRRO/CENTRO),",NUMERO,1447,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
,4330,60,68,,,,,,,,AVENIDA,RIO,BRANCO,"(BAIRRO/CENTRO),",NUMERO,1447,,,,,,,,,,,,
,4331,50,58,,,,,,,,AVENIDA,VEREADOR,ABEL,FERREIRA,"(CENTRO/BAIRRO),",NUMERO,308,,,,,,,,,,,
,4333,50,58,,,,,,,,AVENIDA,VEREADOR,ABEL,FERREIRA,"(BAIRRO/CENTRO),",NUMERO,313,,,,,,,,,,,
,4335,60,68,,,,,,,,ESTRADA,DO,IMPERADOR,"(CENTRO/BAIRRO),A",MAIS,20,METROS,DA,RUA,FLOR,DE,PELICANO,,,,,,
,4336,70,78,,,,,,,,AV,JACU,PESSEGO/N,TRABAL,(S,MAT/S,MIG),X,R,MONTANHAS,,,,,,,,
,4337,60,68,,,,,,,,AV,DOUTOR,FRANCISCO,MESQUITA,(SP/SANTO,"ANDRE),",A,MAIS,190,METROS,DA,R,PATRIARCA,,,,,
,4339,60,68,,,,,,,,ESTRADA,DO,IMPERADOR,"(CENTRO/BAIRRO),A",MAIS,43,METROS,DA,RUA,LARANJA,DE,NATAL,,,,,,
,4341,60,68,,,,,,,,ESTRADA,DO,IMPERADOR,"(BAIRRO/CENTRO),A",MENOS,55,METROS,DA,RUA,TABACARANA,,,,,,,,
,4343,60,68,,,,,,,,ESTRADA,DO,IMPERADOR,(BAIRRO/CENTRO),A,MAIS,5,METROS,DA,RUA,TEODOSIO,DE,ARAUJO,,,,,
,4345,50,58,,,,,,,,AVENIDA,PAES,DE,BARROS,(VILA,"PRUDENTE/MOOCA),",NR,485,#NAME?,EXCLUSIVA,DE,ONIBUS,,,,,,
,4346,60,68,,,,,,,,AVENIDA,PAES,DE,BARROS,(VILA,"PRUDENTE/MOOCA),",NUMERO,485,,,,,,,,,,
,4347,50,58,,,,,,,,AV,PAES,DE,BARROS,(VILA,"PRUDENTE/MOOCA),",NR,1591,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,
,4348,60,68,,,,,,,,AVENIDA,PAES,DE,BARROS,(VILA,"PRUDENTE/MOOCA),",NUMERO,1591,,,,,,,,,,
,4349,50,58,,,,,,,,AV,PAES,DE,BARROS,(MOOCA/VILA,"PRUDENTE),",NR,1582,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,
,4350,60,68,,,,,,,,AVENIDA,PAES,DE,BARROS,(MOOCA/VILA,"PRUDENTE),",NUMERO,1582,,,,,,,,,,
,4351,50,58,,,,,,,,AVENIDA,PAES,DE,BARROS,(VILA,"PRUDENTE/MOOCA),",NR,1025-FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L2,4352,50,58,,,,-23.592533,-46.471501,,1/0/1900,AV,ARICANDUVA,"(B/C),",A,MENOS,"1,3",KM,DA,EST,DA,FAZENDA,DO,CARMO-FX,EXC,DE,ONIBUS,,
,4353,50,58,,,,,,,,AVENIDA,CALIM,EID,"(BAIRRO/CENTRO),",NUMERO,3555,,,,,,,,,,,,
,4355,50,58,,,,,,,,AVENIDA,CALIM,EID,"(CENTRO/BAIRRO),",A,MENOS,7,METROS,DA,RUA,MONTE,DAS,GAMELEIRAS,,,,,
,4357,50,58,,,,,,,,AVENIDA,CALIM,EID,"(BAIRRO/CENTRO),",A,MENOS,130,METROS,DA,RUA,ANTONIO,FORTUNATO,,,,,,
,4359,50,58,,,,,,,,AV,DOM,HELDER,CAMARA,"(BAIRRO/CENTRO),",A,MENOS,10,METROS,DA,R,JOAQUIM,ORNELAS,,,,,
,4361,50,58,,,,,,,,AV,DOM,HELDER,CAMARA,"(CENTRO/BAIRRO),A",MAIS,100M,DA,R,DONA,CECILIA,SANTANA,,,,,,
L2,4362,60,68,,,,-23.579358,-46.572039,,1/0/1900,AV,SALIM,FARAH,MALUF,(MARGINAL,TIETE/V.,"PRUDENTE),",A,MENOS,20M,DA,AV,VILA,EMA,,,,
,4363,60,68,,,,,,,,AV,"ARICANDUVA,",PISTA,LOCAL,"(CENTRO/BAIRRO),",A,MENOS,7M,DA,R,SERRA,DE,BOTUCATU,,,,,
L2,4364,60,68,,,,-23.580648,-46.586816,,1/0/1900,AVENIDA,PAES,DE,BARROS,"(CENTRO/BAIRRO),",NUMERO,3420,,,,,,,,,,,
,4365,60,68,,,,,,,,AVENIDA,"ARICANDUVA,",PISTA,LOCAL,"(BAIRRO/CENTRO),",NUMERO,2663,,,,,,,,,,,
L2,4366,60,68,,,,-23.535993,-46.55315,,1/0/1900,AVENIDA,CONDE,DE,FRONTIN,"(CENTRO/BAIRRO),",A,MENOS,55,METROS,DA,RUA,PINHALZINHO,,,,,,
,4367,60,68,,,,,,,,AVENIDA,LIDER,"(CENTRO/BAIRRO),",NUMERO2976,,,,,,,,,,,,,,
L2,4368,60,68,,,,-23.53587,-46.552544,,1/0/1900,AV,CONDE,DE,FRONTIN,"(BAIRRO/CENTRO),",A,MENOS,325M,DO,ACESSO,AO,VD,ANTONIO,ABDO,,,,
,4369,60,68,,,,,,,,AVENIDA,LIDER,"(BAIRRO/CENTRO),",NUMERO3241,,,,,,,,,,,,,,
,4371,60,68,,,,,,,,AVENIDA,ITAQUERA,"(BAIRRO/CENTRO),",NUMERO,795,,,,,,,,,,,,,
,4372,60,68,,,,,,,,AV,JACU,PESSEGO/NOVA,TRABALHADORES,(S.,"MIG/S.MAT),",A,MENOS,8M,DA,IOSOSUKE,OKAUE,,,,,,
,4373,60,68,,,,,,,,AVENIDA,ITAQUERA,"(CENTRO/BAIRRO),",NUMERO,1502,,,,,,,,,,,,,
,4374,60,68,,,,,,,,AV,JACU,PESSEGO/N.,TRABALHADORES,(S.,"MAT/S.MIG),",A,MENOS,40M,DA,R,JAIME,RIBEIRO,,,,,
,4375,50,58,,,,,,,,R,DR,ASSIS,RIBEIRO,"(CENTRO/BAIRRO),",AMAIS,10M,DA,R,REV.,JOAO,EUCLIDES,PEREIRA,,,,,
L2,4376,60,68,,,,-23.587865,-46.442935,,1/0/1900,AV,JACU,PESSEGO/N.,TRABALHAD.,(S.,MIG/S.,"MAT),",A,MAIS,256M,DA,ESTRADA,DOS,MONOS,,,,
,4377,50,58,,,,,,,,RUA,DOUTOR,ASSIS,RIBEIRO,"(CENTRO/BAIRRO),",A,MAIS,5,METROS,DA,RUA,TIRIBA,,,,,,
,4378,70,78,,,,,,,,AV,JACU,PESSEGO/NOVA,TRABALHADORES,(S.,MIG/S.,"MAT),",A,MAIS,301M,DA,AV,R.,CHOHFI,,,,
,4379,50,58,,,,,,,,RUA,DOUTOR,ASSIS,RIBEIRO,(BAIRRO/CENTRO),A,MENOS,7,METROS,DO,NUMERO,8000,OPOSTO,,,,,
L2,4380,70,78,,,,-23.59761,-46.444652,,1/0/1900,AV,JACU,PESSEGO/NOVA,TRABALHADORES,(S.,"MAT/S.MIG),",A,MENOS,302M,DA,AV,R.,CHOHFI,,,,,
,4381,50,58,,,,,,,,RUA,DOUTOR,ASSIS,RIBEIRO,"(BAIRRO/CENTRO),",A,MAIS,228,METROS,DA,RUA,JAPICHAUA,,,,,,
L2,4382,60,68,,,,-23.592533,-46.471501,,1/0/1900,AV,ARICANDUVA,"(BAIRRO/CENTRO),",A,MENOS,"1,3",KM,DA,ESTRADA,DA,FAZENDA,DO,CARMO,,,,,
,4383,60,68,,,,,,,,AV,ANTONIO,E,DE,"CARVALHO,",PTA,"CENTRAL(C/B),",A,MAIS,5M,DA,R,PALMEIRA,DOS,INDIOS,,,
,4384,60,68,,,,,,,,AV,ANTONIO,E,DE,"CARVALHO,",PTA,CENT,"(C/B),",A,MAIS,5M,DA,R,P,DOS,INDIOS-FX,EXC,ON
L2,4386,60,68,,,,-23.549363,-46.57893,,1/0/1900,AV,SALIM,FARAH,MALUF,(MARGINAL,TIETE/V,PRUDENTE),A,MENOS,40M,DA,R,FLORINDO,BRAS,,,,
L2,4387,60,68,,,,-23.587865,-46.442935,,1/0/1900,AV,JACU,PESSEG/N,TRAB,(S,MG/S,MAT),A,MAIS,256M,DA,EST,DOS,MONOS-FX,EX,DE,ONIBUS,
,4389,60,68,,,,,,,,AV,JACU,PESSEG/N,TRAB,(S,MAT/S,MG),A,MENOS,40M,DA,R,JAIME,RIBEIRO-FX,EX,DE,ONIB,
,4390,60,68,,,,,,,,AVENIDA,ALCANTARA,MACHADO,"(BAIRRO/CENTRO),",A,MENOS,34,METROS,DA,RUA,PLACIDINA,,,,,,,
L2,4395,60,68,,,,-23.542768,-46.584178,,1/0/1900,AVENIDA,ALCANTARA,MACHADO,"(CENTRO/BAIRRO),",NUMERO,4360,,,,,,,,,,,,
L2,4396,60,68,,,,-23.542768,-46.584178,,1/0/1900,AV,ALCANTARA,MACHADO,"(CENTRO/BAIRRO),NUMERO",4360,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,,
L2,4397,40,48,,,,-23.533453,-46.565076,,1/0/1900,AVENIDA,CELSO,GARCIA,"(BAIRRO/CENTRO),NUMERO",4911,,,,,,,,,,,,,
L2,4401,60,68,,,,-23.571449,-46.573103,,1/0/1900,AV,SALIM,FARAH,MALUF,(VILA,PRUDENTE/MARGINAL,"TIETE),",A,MAIS,205M,DA,R,RHONE,,,,,
L2,4404,40,48,,,,-23.537083,-46.59298,,1/0/1900,AVENIDA,CELSO,GARCIA,"(CENTRO/BAIRRO),NUMERO",2004,,,,,,,,,,,,,
L2,4405,40,48,,,,-23.537083,-46.59298,,1/0/1900,AVENIDA,CELSO,GARCIA,"(BAIRRO/CENTRO),NUMERO",1907,,,,,,,,,,,,,
,4416,40,48,,,,,,,,AVENIDA,AMADOR,BUENO,DA,VEIGA,"(CENTRO/BAIRRO),",NUMERO,486,,,,,,,,,,
,4417,40,48,,,,,,,,AVENIDA,AMADOR,BUENO,DA,VEIGA,"(BAIRRO/CENTRO),",NUMERO,487,,,,,,,,,,
L2,4418,40,48,,,,-23.549527,-46.581051,,1/0/1900,AVENIDA,ALVARO,RAMOS,"(CENTRO/BAIRRO),NUMERO",1582,,,,,,,,,,,,,
L2,4419,40,48,,,,-23.549527,-46.581051,,1/0/1900,AVENIDA,ALVARO,RAMOS,"(BAIRRO/CENTRO),OPOSTO",NUMERO,1582,,,,,,,,,,,,
L2,4420,40,48,,,,-23.580092,-46.487091,,1/0/1900,AVENIDA,AFONSO,DE,SAMPAIO,E,SOUSA,"(BAIRRO/CENTRO),",NUMERO,3074,,,,,,,,,
L2,4421,40,48,,,,-23.580092,-46.487091,,1/0/1900,AVENIDA,AFONSO,DE,SAMPAIO,E,SOUSA,"(CENTRO/BAIRRO),",OPOSTO,NUMERO,3074,,,,,,,,
,4422,40,48,,,,,,,,RUA,CONEGO,ANTONIO,MANZI,"(NORDESTINA/LAGEADO),",NUMERO,4A,,,,,,,,,,,
,4423,40,48,,,,,,,,RUA,CONEGO,ANTONIO,MANZI,"(LAGEADO/NORDESTINA),",NUMERO,27,,,,,,,,,,,
,4424,40,48,,,,,,,,AVENIDA,AGUIA,DE,HAIA,(SAO,"MIGUEL/RADIAL),",A,MENOS,"6,50",METROS,DA,RUA,CUIM,,,,,
,4425,40,48,,,,,,,,AVENIDA,AGUIA,DE,HAIA,(RADIAL/SAO,"MIGUEL),",A,MAIS,21,METROS,DA,RUA,CUIM,,,,,
,4426,40,48,,,,,,,,AVENIDA,AGUIA,DE,HAIA,(SAO,"MIGUEL/RADIAL),",OPOSTO,NUMERO,176,,,,,,,,,
,4427,40,48,,,,,,,,AVENIDA,AGUIA,DE,HAIA,(RADIAL/SAO,"MIGUEL),",NUMERO,176,,,,,,,,,,
L2,4428,40,48,,,,-23.532669,-46.448065,,1/0/1900,RUA,AUGUSTO,CARLOS,BAUMAN,"(CENTRO/BAIRRO),",OPOSTO,NUMERO,687C,,,,,,,,,,
L2,4429,40,48,,,,-23.532669,-46.448065,,1/0/1900,RUA,AUGUSTO,CARLOS,BAUMAN,"(BAIRRO/CENTRO),",NUMERO,687C,,,,,,,,,,,
,4430,40,48,,,,,,,,AVENIDA,NORDESTINA,(SAO,"MIGUEL/LAGEADO),",NUMERO,4704,,,,,,,,,,,,
,4431,40,48,,,,,,,,AVENIDA,NORDESTINA,(LAGEADO/SAO,"MIGUEL),",OPOSTO,NUMERO,4707,,,,,,,,,,,
,4432,40,48,,,,,,,,AV,JOSE,PINHEIRO,BORGES,"(CENTRO/BAIRRO),",A,MENOS,27M,DA,R,MANUEL,CALHAMARES,,,,,,
,4433,40,48,,,,,,,,AVENIDA,NORDESTINA,(SAO,"MIGUEL/LAGEADO),",NUMERO,6800,,,,,,,,,,,,
,4434,40,48,,,,,,,,AVENIDA,NORDESTINA,(LAGEADO/SﬁO,"MIGUEL),",OPOSTO,AO,NUMERO,6800,,,,,,,,,,
L2,4439,60,68,,,,-23.549167,-46.525086,,1/0/1900,AVENIDA,ARICANDUVA,"(CENTRO/BAIRRO),",AMAIS,123,METROS,DA,RUA,ASTARTE,,,,,,,,,
L2,4440,50,58,,,,-23.549167,-46.525086,,1/0/1900,AV,ARICANDUVA,"(CENTRO/BAIRRO),",A,MAIS123M,DA,R,ASTARTE,#NAME?,EXCLUSIVA,DE,ONIBUS,,,,,,
L2,4441,40,48,,,,-23.568013,-46.596174,,1/0/1900,RUA,CELSO,DE,AZEVEDO,MARQUES,"(CENTRO/BAIRRO),",NUMERO,196,,,,,,,,,,
L2,4442,40,48,,,,-23.568013,-46.596174,,1/0/1900,RUA,CELSO,DE,AZEVEDO,MARQUES,"(BAIRRO/CENTRO),",NUMERO,193A,,,,,,,,,,
L2,4443,40,48,,,,-23.533541,-46.459569,,1/0/1900,AVENIDA,CAMPANELLA,"(BAIRRO/CENTRO),",NUMERO,1863,,,,,,,,,,,,,
L2,4444,40,48,,,,-23.533541,-46.459569,,1/0/1900,AVENIDA,CAMPANELLA,"(CENTRO/BAIRRO),",OPOSTO,NUMERO,1863,,,,,,,,,,,,
L2,4451,40,48,,,,-23.549669,-46.425858,,1/0/1900,RUA,LUIS,MATEUS,(IGUATEMI/SAO,"MIGUEL),",NUMERO,675,,,,,,,,,,,
L2,4452,40,48,,,,-23.549669,-46.425858,,1/0/1900,RUA,LUIS,MATEUS,(SAO,"MIGUEL/IGUATEMI),",NUMERO,820,,,,,,,,,,,
L2,4453,40,48,,,,-23.554322,-46.435014,,1/0/1900,R,JARDIM,TAMOIO,(ITAQUERA/GUAIANAZES),X,R,CRISTOVAO,DE,SALAMANCA,,,,,,,,,
L2,4454,40,48,,,,-23.554322,-46.435014,,1/0/1900,R,JARDIM,TAMOIO,(GUAIANAZES/ITAQUERA)R,CRISTOVAO,DE,SALAMANCA,,,,,,,,,,,
L2,4455,40,48,,,,-23.573774,-46.537745,,1/0/1900,AVENIDA,MONTEMAGNO,(AGUA,RASA/VILA,"FORMOSA),",NUMERO,2926,,,,,,,,,,,
L2,4456,40,48,,,,-23.573774,-46.537745,,1/0/1900,AVENIDA,MONTEMAGNO,(VILA,"FORMOSA/AGUARASA),",NUMERO,2927,,,,,,,,,,,,
L2,4457,40,48,,,,-23.527479,-46.50113,,1/0/1900,RUA,ITINGUCU,"(CENTRO/BAIRRO),",NUMERO,1512,,,,,,,,,,,,,
L2,4458,40,48,,,,-23.527479,-46.50113,,1/0/1900,RUA,ITINGUCU,"(BAIRRO/CENTRO),",NUMERO,1517,,,,,,,,,,,,,
L2,4459,40,48,,,,-23.572622,-46.540858,,1/0/1900,AVENIDA,RENATA,"(SAPOPEMBA/ARICANDUVA),",NUMERO,257,,,,,,,,,,,,,
L2,4460,40,48,,,,-23.572622,-46.540858,,1/0/1900,AVENIDA,RENATA,"(ARICANDUVA/SAPOPEMBA),",NUMERO,258,,,,,,,,,,,,,
L2,4461,60,68,,,,-23.578952,-46.497059,,1/0/1900,AVENIDA,ARICANDUVA,"(CENTRO/BAIRRO),",AMAIS,13,METROS,DA,RUA,FUNILANDIA,,,,,,,,,
L2,4462,50,58,,,,-23.578952,-46.497059,,1/0/1900,AV,ARICANDUVA,"(CENTRO/BAIRRO),",A,MAIS13M,DA,R,FUNILANDIA,#NAME?,EXCLUS,DE,ONIBUS,,,,,,
L2,4463,60,68,,,,-23.535974,-46.553054,,1/0/1900,AV,CONDE,DE,FRONTIN,"(C/B),",A,MENOS,55M,DA,R,PINHALZINHO,#NAME?,EXCLUSIVA,DE,ONIBUS,,,
L2,4464,60,68,,,,-23.535696,-46.552651,,1/0/1900,AV,CDE,DE,FRONTIN,"(B/C),",A,MENOS,325MDO,ACESSO,AO,VD,ANTONIO,ABDO-FX,EX,ONIBUS,,,
